B 260,KEEP AWAY FROM TURRET,XBT-V PAGE 6,,
B 261,REMOVE SCRAP ON ROLL,XBT-V PAGE 6,,
B 262,CLEAN AND BRAND THE ROLL,XBT-V PAGE 6,,
B 263,CONNECT THE FILM,XBT-V PAGE 6,,
B 264,TRANSFER THE FILM,XBT-V PAGE 6,,
B 265,,,,
B 266,,,,
B 267,,,,
B 268,,,,
B 269,,,,
B 270,ALARM,XBT-V PAGE 3,,
B 271,ALARM,XBT-V PAGE 4,,
B 272,,,,
B 273,,,,
B 274,,,,
B 275,,,,
B 276,,,,
B 277,,,,
B 278,,,,
B 279,,,,
B 280,,,,
B 281,,,,
B 282,,,,
B 283,,,,
B 284,,,,
B 285,,,,
B 286,,,,
B 287,,,,
B 288,,,,
B 289,,,,
B 290,AUTOMATIC,XBT-V PAGE 5,"W285,0",
B 291,1 ------> CARRIAGE,XBT-V PAGE 5,"W285,1",
B 292,2 ------> TURRET,XBT-V PAGE 5,"W285,2",
B 293,3 ------> CUTTING ARM,XBT-V PAGE 5,"W285,3",
B 294,4 ------> KNIFE,XBT-V PAGE 5,"W285,4",
B 295,PB CARRIAGE FORWARD,XBT-V PAGE 5,"W285,5",
B 296,PB CARRIAGE STOP,XBT-V PAGE 5,"W285,6",
B 297,PB CARRIAGE REVERSE,XBT-V PAGE 5,"W285,7",
B 298,PB TURRET FORWARD,XBT-V PAGE 5,"W285,8",
B 299,PB TURRET STOP,XBT-V PAGE 5,"W285,9",
B 300,PB TURRET REVERSE,XBT-V PAGE 5,"W285,A",
B 301,PB I/O CUT ARM,XBT-V PAGE 5,"W285,B",
B 302,PB I/O KNIFE,XBT-V PAGE 5,"W285,C",
B 303,PB JOG FORWARD,XBT-V PAGE 5,"W285,D",
B 304,PB JOG STOP,XBT-V PAGE 5,"W285,E",
B 305,PB JOG REVERSE,XBT-V PAGE 5,"W285,F",
B 306,PB RESET POSITION,XBT-V PAGE 5,"W286,0",
B 307,PB MODE SELECT,XBT-V PAGE 5,"W286,1",
B 308,ALARM,XBT-V PAGE 5,"W286,2",
B 309,ROLL CHANGE ON,XBT-V PAGE 5,"W286,3",
B 310,,,,
B 311,,,,
B 312,,,,
B 313,,,,
B 314,,,,
B 315,,,,
B 316,,,,
B 317,,,,
B 318,,,,
B 319,,,,
B 320,CORE A WINDING REGULATION,SRO,,
B 321,,SRO,,
B 322,CORE A INSTANTANEOUS CURRENT,SRO,,
B 323,,,,
B 324,,,,
B 325,CORE B WINDING REGULATION,SRO,,
B 326,,SRO,,
B 327,CORE B INSTANTANEOUS CURRENT,SRO,,
B 328,,,,
B 329,,,,
B 330,,,,
B 331,,,,
B 332,,,,
B 333,,,,
B 334,,,,
B 335,,,,
B 336,,,,
B 337,,,,
B 338,,,,
B 339,,,,
B 340,,,,
B 341,,,,
B 342,,,,
B 343,,,,
B 344,,,,
B 345,,,,
B 346,,,,
B 347,,,,
B 348,,,,
B 349,,,,
B 350,,,,
B 351,,,,
B 352,,,,
B 353,,,,
B 354,,,,
B 355,,,,
B 356,,,,
B 357,,,,
B 358,,,,
B 359,,,,
B 360,,,,
B 361,,,,
B 362,,,,
B 363,,,,
B 364,,,,
B 365,,,,
B 366,,,,
B 367,,,,
B 368,,,,
B 369,,,,
B 370,,,,
B 371,,,,
B 372,,,,
B 373,,,,
B 374,,,,
B 375,,,,
B 376,,,,
B 377,,,,
B 378,,,,
B 379,,,,
B 380,,,,
B 381,,,,
B 382,,,,
B 383,,,,
B 384,,,,
B 385,,,,
B 386,,,,
B 387,,,,
B 388,,,,
B 389,,,,
B 390,,,,
B 391,,,,
B 392,,,,
B 393,,,,
B 394,,,,
B 395,,,,
B 396,,,,
B 397,,,,
B 398,,,,
B 399,,,,
B1900 ,Roll Change On,,,
,,,,
