PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,
CW[530],,FREE,,,
CW[531],,FREE,,,
CW[532],,FREE,,,
CW[533],,FREE,,,
CW[534],,FREE,,,
CW[535],,FREE,,,
CW[536],,FREE,,,
CW[537],,FREE,,,
CW[538],,FREE,,,
CW[539],,FREE,,,
CW[540],,FREE,,,
CW[541],,FREE,,,
CW[542],,FREE,,,
CW[543],,FREE,,,
CW[544],,FREE,,,
CW[545],,FREE,,,
CW[546],,FREE,,,
CW[547],,FREE,,,
CW[548],,FREE,,,
CW[549],,FREE,,,
CW[550],,FREE,,,
CW[551],,FREE,,,
CW[552],,FREE,,,
CW[553],,FREE,,,
CW[554],,FREE,,,
CW[555],,FREE,,,
CW[556],,FREE,,,
CW[557],,FREE,,,
CW[558],,FREE,,,
CW[559],,FREE,,,
CW[560],,FREE,,,
CW[561],,FREE,,,
CW[562],,FREE,,,
CW[563],,FREE,,,
CW[564],,FREE,,,
CW[565],,FREE,,,
CW[566],,FREE,,,
CW[567],,FREE,,,
CW[568],,FREE,,,
CW[569],,FREE,,,
CW[570],,FREE,,,
CW[571],,FREE,,,
CW[572],,FREE,,,
CW[573],,FREE,,,
CW[574],,FREE,,,
CW[575],,FREE,,,
CW[576],,FREE,,,
CW[577],,FREE,,,
CW[578],,FREE,,,
CW[579],,FREE,,,
CW[580],,FREE,,,
CW[581],,FREE,,,
CW[582],,FREE,,,
CW[583],,FREE,,,
CW[584],,FREE,,,
CW[585],,FREE,,,
CW[586],,FREE,,,
CW[587],,FREE,,,
CW[588],,FREE,,,
CW[589],,FREE,,,
CW[590],,FREE,,,
CW[591],,FREE,,,
CW[592],,FREE,,,
CW[593],,FREE,,,
CW[594],,FREE,,,
CW[595],,FREE,,,
CW[596],,FREE,,,
CW[597],,FREE,,,
CW[598],,FREE,,,
CW[599],,FREE,,,
CW[600],,DIVIDER PRESSURE MEASURE FOR XBT DISPLAY (SR16),Pts -> PSI,pg 77,
CW[608],,FREE,,,
CW[609],,FREE,,,
CW[610],,FREE,,,
CW[611],,FREE,,,
CW[612],,FREE,,,
CW[613],,FREE,,,
CW[614],,FREE,,,
CW[615],,FREE,,,
CW[616],,FREE,,,
CW[617],,FREE,,,
CW[618],,FREE,,,
CW[619],,FREE,,,
CW[620],,FREE,,,
CW[621],,FREE,,,
CW[622],,FREE,,,
CW[623],,FREE,,,
CW[624],,FREE,,,
CW[625],,FREE,,,
CW[626],,FREE,,,
CW[627],,FREE,,,
CW[628],,FREE,,,
CW[629],,FREE,,,
CW[630],,FREE,,,
CW[631],,FREE,,,
CW[632],,FREE,,,
CW[633],,FREE,,,
CW[634],,FREE,,,
CW[635],,FREE,,,
CW[636],,FREE,,,
CW[637],,FREE,,,
CW[638],,FREE,,,
CW[639],,FREE,,,
CW[640],,FREE,,,
CW[641],,FREE,,,
CW[642],,FREE,,,
CW[643],,FREE,,,
CW[644],,FREE,,,
CW[645],,FREE,,,
CW[646],,FREE,,,
CW[647],,FREE,,,
CW[648],,FREE,,,
CW[649],,FREE,,,
CW[650],,FREE,,,
CW[651],,FREE,,,
CW[652],,FREE,,,
CW[653],,FREE,,,
CW[654],,FREE,,,
CW[655],,FREE,,,
CW[656],,FREE,,,
CW[657],,FREE,,,
CW[658],,FREE,,,
CW[659],,FREE,,,
CW[660],,FREE,,,
CW[661],,FREE,,,
CW[662],,FREE,,,
CW[663],,FREE,,,
CW[664],,FREE,,,
CW[665],,FREE,,,
CW[666],,FREE,,,
