PLC ADD ,Comment ,Unit,Mark 
CW341,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW342,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW343,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW344,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW345,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW346,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW347,(ESC T) XBT-V MESSAGE                                    Nb 11,,
CW348,,,
CW349,,,
CW350,,,
CW351,,,
CW352,,,
CW353,,,
CW354,,,
CW355,,,
CW356,,,
CW357,,,
CW358,,,
CW359,,,
CW360,,,
CW361,,,
CW362,,,
CW363,,,
CW364,,,
CW365,,,
CW366,,,
CW367,,,
CW368,,,
CW369,,,
CW370,,,
CW371,,,
CW372,,,
CW373,,,
CW374,,,
CW375,,,
CW376,,,
CW377,,,
CW378,,,
CW379,,,
CW380,,,
CW381,,,
CW382,,,
CW383,,,
CW384,,,
CW385,,,
CW386,,,
CW387,,,
CW388,,,
CW389,,,
CW390,,,
CW391,,,
CW392,,,
CW393,,,
CW394,,,
CW395,,,
CW396,,,
CW397,,,
CW398,,,
CW399,,,
CW400,ROLL DIAMETER MINI ,,W90
CW401,ROLL DIAMETER MAXI,,W91
CW402,CONTACT FORCE SETPOINT INC   STEP,,W101
CW403,100/INTEGRAL COEFFICIENT,,W144
CW404,,,W311
CW405,,,W312
CW406,,,W391
CW407,,,W392
CW408,,,W393
CW409,CORE SPEED MINI THRESHOLD ,,W608
CW410,TORQUE MOTOR COEFFICIENT,,W609
CW411,RADIUS DIFF. FOR INCREASE,,W611
CW412,MIN TORQUE DIFF FOR  CORRECTION,,W613
CW413,INCREASE TORQUE CORR. STEP,,W614
CW414,SPEED CONTROL SENSIBILITY,,W620
CW415,INCREASE RADUS . STEP,,W629
CW416,PROP.  CORR. TORQUE COEF. ,,W634
CW417,TORQUE --> CURRENT COEFFICIENT,,W639
CW418,NO LOAD CURRENT MINI SETPOINT ,,W643
CW419,TENSION THRESHOLD MINI FOR COPR.  ,,W644
CW420,CORE OVER SPEED COMPARE TO LINESPEED ,,W645
CW421,CORE SPEED MINI THRESHOLD ,,W708
CW422,TORQUE MOTOR COEFFICIENT,,W709
CW423,RADIUS DIFF. FOR INCREASE,,W711
CW424,MIN TORQUE DIFF FOR  CORRECTION,,W713
CW425,INCREASE TORQUE CORR. STEP,,W714
CW426,SPEED CONTROL SENSIBILITY,,W720
CW427,INCREASE RADIUS STEP,,W729
CW428,PROP.  CORR. TORQUE COEF. ,,W734
CW429,TORQUE --> CURRENT COEFFICIENT,,W739
CW430,NO LOAD CURRENT MINI SETPOINT ,,W743
CW431,TENSION THRESHOLD MINI FOR COPR.  ,,W744
CW432,CORE OVER SPEED COMPARE TO LINESPEED ,,W745
CW433,,,W1000
CW434,,,
CW435,,,
CW436,,,
CW437,,,
CW438,,,
CW439,CONTACT ROLL ,,
CW440,,,
CW441,,,
CW442,,,
CW443,,,
CW444,,,
CW445,,,
CW446,,,
CW447,,,
CW448,,,
CW449,,,
CW450,,,
CW451,,,
CW452,,,
CW453,,,
CW454,,,
CW455,,,
CW456,,,
CW457,,,
CW458,,,
CW459,,,
CW460,,,
CW461,,,
CW462,,,
CW463,,,
CW464,,,
CW465,,,
CW466,,,
CW467,,,
CW468,,,
CW469,,,
CW470,,,
CW471,,,
CW472,,,
CW473,,,
CW474,,,
CW475,,,
CW476,,,
CW477,,,
CW478,,,
CW479,,,
CW480,,,
CW481,,,
CW482,,,
CW483,,,
CW484,,,
CW485,,,
CW486,,,
CW487,,,
CW488,,,
CW489,,,
CW490,,,
CW491,,,
CW492,,,
CW493,,,
CW494,,,
CW495,,,
CW496,,,
CW497,,,
CW498,,,
CW499,,,
CW500,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 1
CW501,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 1
CW502,RESULT ADDRESS                                          SR8,,AVERAGE Nb 1
CW503,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 2
CW504,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 2
CW505,RESULT ADDRESS                                          SR8,,AVERAGE Nb 2
CW506,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 3
CW507,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 3
CW508,RESULT ADDRESS                                          SR8,,AVERAGE Nb 3
CW509,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 4
CW510,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 4
CW511,RESULT ADDRESS                                          SR8,,AVERAGE Nb 4
CW512,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 5
CW513,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 5
CW514,RESULT ADDRESS                                          SR8,,AVERAGE Nb 5
CW515,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 6
CW516,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 6
CW517,RESULT ADDRESS                                          SR8,,AVERAGE Nb 6
CW518,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 7
CW519,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 7
CW520,RESULT ADDRESS                                          SR8,,AVERAGE Nb 7
CW521,VALUES NUMBER (MIN=1   MAX=46)                SR8,,AVERAGE Nb 8
CW522,MEASURE ADDRESS                                       SR8,,AVERAGE Nb 8
CW523,RESULT ADDRESS                                          SR8,,AVERAGE Nb 8
CW524,,,
CW525,,,
CW526,,,
CW527,,,
CW528,,,
CW529,,,
CW530,,,
CW531,,,
CW532,,,
CW533,,,
CW534,,,
CW535,,,
CW536,,,
CW537,,,
CW538,,,
CW539,,,
CW540,,,
CW541,,,
CW542,,,
CW543,,,
CW544,,,
CW545,,,
CW546,,,
CW547,,,
CW548,,,
CW549,,,
CW550,,,
CW551,,,
CW552,,,
CW553,,,
CW554,,,
CW555,,,
CW556,,,
CW557,,,
CW558,,,
CW559,,,
CW560,,,
CW561,,,
CW562,,,
CW563,,,
CW564,,,
CW565,,,
CW566,,,
CW567,,,
CW568,,,
CW569,,,
CW570,,,
CW571,,,
CW572,,,
CW573,,,
CW574,,,
CW575,,,
CW576,,,
CW577,,,
CW578,,,
CW579,,,
CW580,,,
CW581,,,
CW582,,,
CW583,,,
CW584,,,
CW585,,,
CW586,,,
CW587,,,
CW588,,,
CW589,,,
CW590,,,
CW591,,,
CW592,,,
CW593,,,
CW594,,,
CW595,,,
CW596,,,
CW597,,,
CW598,,,
CW599,,,
CW600,,,
CW601,,,
CW602,,,
CW603,,,
CW604,,,
CW605,,,
CW606,,,
CW607,,,
CW608,,,
CW609,,,
CW610,,,
CW611,,,
CW612,,,
CW613,,,
CW614,,,
CW615,,,
CW616,,,
CW617,,,
CW618,,,
CW619,,,
CW620,,,
CW621,,,
CW622,,,
CW623,,,
CW624,,,
CW625,,,
CW626,,,
CW627,,,
CW628,,,
CW629,,,
CW630,,,
CW631,,,
CW632,,,
CW633,,,
CW634,,,
CW635,,,
CW636,,,
CW637,,,
CW638,,,
CW639,,,
CW640,,,
CW641,,,
CW642,,,
CW643,,,
CW644,,,
CW645,,,
CW646,,,
CW647,,,
CW648,,,
CW649,,,
CW650,,,
CW651,,,
CW652,,,
CW653,,,
CW654,,,
CW655,,,
CW656,,,
CW657,,,
CW658,,,
CW659,,,
CW660,,,
CW661,,,
CW662,,,
CW663,,,
CW664,,,
CW665,,,
CW666,,,
CW667,,,
CW668,,,
CW669,,,
CW670,,,
CW671,,,
CW672,,,
CW673,,,
CW674,,,
CW675,,,
CW676,,,
CW677,,,
CW678,,,
CW679,,,
CW680,,,
CW681,,,
CW682,,,
CW683,,,
CW684,,,
CW685,,,
CW686,,,
CW687,,,
CW688,,,
CW689,,,
CW690,,,
CW691,,,
CW692,,,
CW693,,,
CW694,,,
CW695,,,
CW696,,,
CW697,,,
CW698,,,
CW699,,,
CW700,,,
CW701,,,
CW702,,,
CW703,,,
CW704,,,
CW705,,,
CW706,,,
CW707,,,
CW708,,,
CW709,,,
CW710,,,
CW711,,,
CW712,,,
CW713,,,
CW714,,,
CW715,,,
CW716,,,
CW717,,,
CW718,,,
CW719,,,
CW720,,,
CW721,,,
CW722,,,
CW723,,,
