PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,,,,,
W[219],,FREE,,,,,,
W[220],,FREE,,,,,,
W[221],,FREE,,,,,,
W[222],,FREE,,,,,,
W[223],,FREE,,,,,,
W[224],,AEM04 AFTER SCALE TRAITEMENT FREE,,,,,,
W[225],,AEM04 AFTER SCALE TRAITEMENT FREE,,,,,,
W[226],,AEM04 AFTER SCALE TRAITEMENT FREE,,,,,,
W[227],,AEM04 AFTER SCALE TRAITEMENT FREE,,,,,,
W[228],,AFTER SCALE TRAITEMENT DANCER GAUGE -> CR,0-10000pts,,,,,
W[229],,AFTER SCALE TRAITEMENT DANCER ROLL MDO1,0-10000pts,,,,,
W[230],,FREE,0-10000pts,,,,,
W[231],,AFTER SCALE TRAITEMENT DANCER ROLL TDO,0-10000pts,,,,,
W[232],,AFTER SCALE TRAITEMENT PRE B/F EXT1,0-10000pts,,,,,
W[233],,AFTER SCALE TRAITEMENT PRE A/F EXT1,0-10000pts,,,,,
W[234],,AFTER SCALE TRAITEMENT PRE B/F EXT2,0-10000pts,,,,,
W[235],,AFTER SCALE TRAITEMENT PRE A/F EXT2,0-10000pts,,,,,
W[236],,AFTER SCALE TRAITEMENT PRE B/F SAT1,0-10000pts,,,,,
W[237],,AFTER SCALE TRAITEMENT PRE A/F SA1,0-10000pts,,,,,
W[238],,AFTER SCALE TRAITEMENT PRE B/F SAT2,0-10000pts,,,,,
W[239],,AFTER SCALE TRAITEMENT PRE A/F SAT2,0-10000pts,,,,,
W[240],,AFTER SCALE TRAITEMENT SPEED EXT1,"0,1trm",,,,,
W[241],,AFTER SCALE TRAITEMENT SPEED EXT2,"0,1trm",,,,,
W[242],,AFTER SCALE TRAITEMENT SPEED SAT1,"0,1trm",,,,,
W[243],,AFTER SCALE TRAITEMENT SPEED SAT2,"0,1trm",,,,,
W[244],,AFTER SCALE TRAITEMENT SPEED CR,"0,1Fpm",,,,,
W[245],,AFTER SCALE TRAITEMENT SPEED MDO1,"0,1Fpm",,,,,
W[246],,AFTER SCALE TRAITEMENT SPEED MDO2,Fpm,,,,,
W[247],,AFTER SCALE TRAITEMENT SPEED MDO3,Fpm,,,,,
W[248],,AFTER SCALE TRAITEMENT SPEED TDO,Fpm,,,,,
W[249],,AFTER SCALE TRAITEMENT SPEED PRS1,Fpm,,,,,
W[250],,AFTER SCALE TRAITEMENT SPEED PRS2,Fpm,,,,,
W[251],,AFTER SCALE TRAITEMENT CURRENT EXT1,xxxxAmp,,,,,
W[252],,AFTER SCALE TRAITEMENT CURRENT EXT2,xxxxAmp,,,,,
W[253],,AFTER SCALE TRAITEMENT CURRENT SAT1,xxxAmp,,,,,
W[254],,AFTER SCALE TRAITEMENT CURRENT SAT2,xxxAmp,,,,,
