ADD,ALIAS TO , DESCRIPTION,UNIT,,,
b[324],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[325],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[326],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[327],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[328],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[329],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[330],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[331],,VALUE >10000 PTS (IF>10000 THEN 10000),,,,
b[332],,MDO1 DANCER ROLL ON THE BOTTOM ALARM BIT,,,,
b[333],,FREE,,,,
b[334],,FREE,,,,
b[335],,FREE,,,,
b[336],,FREE,,,,
b[337],,FREE,,,,
b[338],,FREE,,,,
b[339],,FREE,,,,
b[340],,FREE,,,,
b[341],,FREE,,,,
b[342],,FREE,,,,
b[343],,FREE,,,,
b[344],,FREE,,,,
b[345],,FREE,,,,
b[346],,FREE,,,,
b[347],,FREE,,,,
b[348],,FREE,,,,
b[349],,FREE,,,,
b[350],,FREE,,,,
b[351],,FREE,,,,
b[352],,FREE,,,,
b[353],,FREE,,,,
b[354],,FREE,,,,
b[355],,FREE,,,,
b[356],,FREE,,,,
b[357],,FREE,,,,
b[358],,FREE,,,,
b[359],,FREE,,,,
b[360],,ORDER RUN EXT1,,,,
b[361],,ORDER RUN EXT2,,,,
b[362],,ORDER RUN SAT1,,,,
b[363],,ORDER RUN SAT2,,,,
b[364],,ORDER RUN CR,,,,
b[365],,ORDER RUN MDO1,,,,
b[366],,ORDER RUN MDO2,,,,
b[367],,ORDER RUN MDO3,,,,
b[368],,ORDER RUN TDO,,,,
b[369],,ORDER RUN PRS1,,,,
b[370],,ORDER RUN PRS2,,,,
b[371],,FREE,,,,
b[372],,FREE,,,,
b[373],,FREE,,,,
b[374],,FREE,,,,
b[375],,FREE,,,,
b[376],,FREE,,,,
b[377],,FREE,,,,
b[378],,FREE,,,,
b[379],,FREE,,,,
b[380],,START MDO1 + WARM ROLL,,,,
b[381],,START MDO2 + WARM ROLL,,,,
b[382],,START MDO3 + WARM ROLL,,,,
b[383],,START TDO + WARM ROLL,,,,
b[384],,FREE,,,,
b[385],,FREE,,,,
b[386],,FREE,,,,
b[387],,FREE,,,,
b[388],,FREE,,,,
b[389],,FREE,,,,
b[390],,INTRO STRETCHING,,,,
b[391],,LOW STRETCHING,,,,
b[392],,PROD STRETCHING,,,,
b[393],,HOLD STRETCHING,,,,
b[394],,FREE,,,,
b[395],,FREE,,,,
b[396],,FREE,,,,
b[397],,FREE,,,,
b[398],,FREE,,,,
b[399],,FREE,,,,
b[400],,"PRI,SEC,SAT1,2,CR  (L3)",,,,
b[401],,DEF-INT PRI  (L3),,,,
b[402],,DEF-INT SEC  (L3),,,,
b[403],,DEF-INT SAT1  (L3),,,,
b[404],,DEF-INT SAT2  (L3),,,,
b[405],,DEF-INT CR  (L3),,,,
b[406],,FREE,,,,
b[407],,FREE,,,,
b[408],,FREE,,,,
b[409],,FREE,,,,
b[410],,FREE,,,,
b[411],,FREE,,,,
b[412],,FREE,,,,
b[413],,FREE,,,,
