PLC ADR,ALIAS TO ,DESCRIPTION,UNIT,
CW[378],,PARTITION N4 XBT1 & XBT2 PAGE 2,0,
CW[379],,PARTITION N4 XBT1 & XBT2 PAGE 2,0,
CW[380],,PARTITION N1 XBT1 & XBT2 PAGE 3,B574,
CW[381],,PARTITION N1 XBT1 & XBT2 PAGE 3,B594,
CW[382],,PARTITION N1 XBT1 & XBT2 PAGE 3,W1607,
CW[383],,PARTITION N1 XBT1 & XBT2 PAGE 3,B532,
CW[384],,PARTITION N1 XBT1 & XBT2 PAGE 3,W1609,
CW[385],,PARTITION N1 XBT1 & XBT2 PAGE 3,B533,
CW[386],,PARTITION N1 XBT1 & XBT2 PAGE 3,W1610,
CW[387],,PARTITION N1 XBT1 & XBT2 PAGE 3,B534,
CW[388],,PARTITION N1 XBT1 & XBT2 PAGE 3,B575,
CW[389],,PARTITION N1 XBT1 & XBT2 PAGE 3,B595,
CW[390],,PARTITION N2 XBT1 & XBT2 PAGE 3,B576,
CW[391],,PARTITION N2 XBT1 & XBT2 PAGE 3,B596,
CW[392],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1613,
CW[393],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1615,
CW[394],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1617,
CW[395],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1614,
CW[396],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1616,
CW[397],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1618,
CW[398],,PARTITION N2 XBT1 & XBT2 PAGE 3,W1619,
CW[399],,PARTITION N2 XBT1 & XBT2 PAGE 3,B535,
CW[400],,PARTITION N3 XBT1 & XBT2 PAGE 3,B578,
CW[401],,PARTITION N3 XBT1 & XBT2 PAGE 3,B598,
CW[402],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1524,
CW[403],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1513,
CW[404],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1525,
CW[405],,PARTITION N3 XBT1 & XBT2 PAGE 3,W1514,
