PLC ADD,COMMENT ,,Unit ,Mark 
W664,TREATER A,,,
W665,TREATER B,,,
W666,TREATER C,,,
W667,TREATER D,,,
W668,FREE,,,
W669,FREE,,,
W670,FREE,,,
W671,FREE,,,
W672,FREE,,,
W673,FREE,,,
W674,FREE,,,
W675,FREE,,,
W676,FREE,,,
W677,FREE,,,
W678,FREE,,,
W679,FREE,,,
W680,LENGTH CALCULATIONS,,,
W681,FREE,,,
W682,FREE,,,
W683,FREE,,,
W684,FREE,,,
W685,FREE,,,
W686,FREE,,,
W687,FREE,,,
W688,FREE,,,
W689,FREE,,,
W690,FREE,,,
W691,FREE,,,
W692,FREE,,,
W693,FREE,,,
W694,FREE,,,
W695,FREE,,,
W696,FREE,,,
W697,FREE,,,
W698,FREE,,,
W699,FREE,,,
W700,FREE,,,
W701,TENSION SETPOINT ,R,0.1 N,
W702,LINE SPEED MEASURE ,R,10 -3 Mps,
W703,CORE SPEED MEASURE ,R,10 -3 Rps,
W704,LINE SPEED CALCULATION,C,10 -3 Mps,
W705,TENSION MEASURE ,R,0.1 N,
W706,MOTOR CURRENT AVERAGE ,R,Pts,
W707,DIAMETER CALCULATION ,C,10 - 4 M ,
W708,CORE SPEED MINI THRESHOLD ,P,10 - 3 Rps ,CW1112
W709,TOGURE MOTOR COEFFICIENT ,P,10 - 2 Nm/A ,CW1114
W710,FREE,,,
W711,"RADIUS DIFFERENCE FOR INCREASE  (0,1%)",P,0/000,CW1116 
W712,LINE SPEED  MEASURE  - LINE SPEED CALCULATION,C,0/000,
W713,MINIMUM TORGUE DIFFERENCE FOR CORRECT,P,0.1N,CW1118
W714,INCREASE CORRECTION TORQUE STEP,P,0.1N,CW1120
W715,ROUGH WORDS,,,
W716,ROUGH WORDS,,,
W717,ROUGH WORDS,,,
W718,ROUGH WORDS,,,
W719,ROUGH WORDS,,,
W720,SPEED CONTROL SENSIBILITY,P,0 -- 5 Rps/Pts,CW1122
W721,FREE,,,
W722,FREE,,,
W723,FREE,,,
W724,FREE,,,
W725,FREE,,,
W726,FREE,,,
W727,FREE,,,
W728,FREE,,,
W729,INCREASE RADIUS STEP ,P,10 - 4 M ,CW1124
W730,TENSION TORQUE + CORRECTION TORQUE RESULT,C,0.1 Nm,
W731,TENSION  TORQUE,C,0.1 Nm,
W732,CORRENTION TORQUE,C,0.1 Nm,
W733,INSTANTANEOUS CORRECTION TORQUE ,C,0.1 Nm,
W734,PROPORTIONAL CORRECTION TORQUE COEF.,P,%,CW1126
W735,FREE,,,
W736,ROLL DIAMETER MINIMUN (COPY OUT W90),P,10 -4 M ,
W737,ROLL DIAMETER MAXIMUN (COPY OUT W91),P,10 -4 M ,
W738,FREE,,,
W739,TORQUE ------->  CURRENT    COEFFICIENT,P,0.1 Pts /A ,CW1128
W740,MOTOR SPEED SR0 L360+3,,,
W741,INSTANTANEOUS CURRENT SETPOINT ,C,Pts,
W742,NO LOAD CURRENT SETPOINT ,C,Pts,
W743,NO LOAD CURRENT MINI SETPOINT ,P,Pts,
W744,TENSION THERSHOLD MINI FOR CORRECTION,P,0.1N,CW1130
W745,CORE OVERSPEED COMPARED TO LINE SPEED ,P,% ,CW1132
W746,CORE  OVERSPEED,C,Pts,
W747,MOTOR CURRENT SETPOINT ,C,Pts,
W748,MOTOR SPEED  SETPOINT ,C,Pts,
W749,COPY OUT W741,C,Pts,
W750,CURRENT SETPOINT INCREASE STEP,P,Pts,
W751,CURRENT SETPOINT MAX AT t,C,Pts,
W752,CURRENT SETPOINT MIN AT t ,C,Pts,
W753,FREE,,,
W754,FREE,,,
W755,FREE,,,
W756,FREE,,,
W757,FREE,,,
W758,FREE,,,
W759,FREE,,,
W760,FREE,,,
W761,FREE,,,
W762,FREE,,,
W763,FREE,,,
W764,FREE,,,
W765,FREE,,,
W766,FREE,,,
W767,FREE,,,
W768,FREE,,,
W769,FREE,,,
W770,FREE,,,
W771,FREE,,,
W772,FREE,,,
W773,FREE,,,
W774,FREE,,,
W775,FREE,,,
W776,FREE,,,
W777,FREE,,,
W778,TREATER INPUT PARAMETERS TREATMENT,,,
W779,FREE,,,
W780,FLAME TEMPERATURE,,,
W781,MIXTURE FLOW,,,
W782,ROLL TEMP,,,
W783,GAP,,,
W784,CORONA A- SCADA,,,
W785,CORONA B- SCADA,,,
W786,CORONA C- SCADA,,,
W787,CORONA D- SCADA,,,
W788,FREE,,,
W789,FREE,,,
W790,FREE,,,
W791,FREE,,,
W792,FREE,,,
W793,FREE,,,
W794,FREE,,,
W795,SEE WORD BITS,,,
W796,SEE WORD BITS,,,
W797,FREE,,,
W798,FREE,,,
W799,FREE,,,
W800,SEE WORD BITS,,,
W801,FREE,,,
W802,FREE,,,
