,F16\BIT.DOC,,
B 531,INVERSE VIDEO PAGE 2 ,,
B 532,INVERSE VIDEO PAGE 3      SPEED CR,,
B 533,INVERSE VIDEO PAGE 3      FRICTION MDO 1 / CR,,
B 534,INVERSE VIDEO PAGE 3      FRICTION TDO / MDO 3,,
B 535,INVERSE VIDEO PAGE 3      GAUGE TDO / MDO 3,,
B 536,INVERSE VIDEO PAGE 3 ,,
B 537,INVERSE VIDEO PAGE 3 ,,
B 538,INVERSE VIDEO PAGE 3 ,,
B 539,INVERSE VIDEO PAGE 3 ,,
B 540,INVERSE VIDEO PAGE 3 ,,
B 541,INVERSE VIDEO PAGE 3 ,,
B 542,INVERSE VIDEO PAGE 3 ,,
B 543,INVERSE VIDEO PAGE 3 ,,
B 544,INVERSE VIDEO PAGE 3 ,,
B 545,INVERSE VIDEO PAGE 3 ,,
B 546,INVERSE VIDEO PAGE 3 ,,
B 547,INVERSE VIDEO PAGE 3 ,,
B 548,INVERSE VIDEO PAGE 4      FRICTION PRS 2 / PRS 1,,
B 549,INVERSE VIDEO PAGE 4      FRICTION PRS 1 / TDO,,
B 550,INVERSE VIDEO PAGE 4 ,,
B 551,INVERSE VIDEO PAGE 4 ,,
B 552,INVERSE VIDEO PAGE 4 ,,
B 553,INVERSE VIDEO PAGE 4 ,,
B 554,INVERSE VIDEO PAGE 4 ,,
B 555,INVERSE VIDEO PAGE 4 ,,
B 556,INVERSE VIDEO PAGE 4 ,,
B 557,INVERSE VIDEO PAGE 4 ,,
B 558,INVERSE VIDEO PAGE 4 ,,
B 559,INVERSE VIDEO PAGE 4 ,,
B 560,INVERSE VIDEO PAGE 4 ,,
B 561,INVERSE VIDEO PAGE 4 ,,
B 562,INVERSE VIDEO PAGE 4 ,,
B 563,INVERSE VIDEO PAGE 4 ,,
B 564,,,
B 565,,,
B 566,,,
B 567,,,
B 568,,,
B 569,,,
B 570,RUN VARIATOR FOR DISPLAY EXT 1,,
B 571,RUN VARIATOR FOR DISPLAY EXT 2,,
B 572,RUN VARIATOR FOR DISPLAY SAT 1,,
B 573,RUN VARIATOR FOR DISPLAY SAT 2,,
B 574,RUN VARIATOR FOR DISPLAY CR,,
B 575,RUN VARIATOR FOR DISPLAY MDO 1,,
B 576,RUN VARIATOR FOR DISPLAY MDO 2,,
B 577,RUN VARIATOR FOR DISPLAY MDO 3,,
B 578,RUN VARIATOR FOR DISPLAY TDO,,
B 579,RUN VARIATOR FOR DISPLAY PRS 1,,
B 580,RUN VARIATOR FOR DISPLAY PRS 2,,
B 581,,,
B 582,,,
B 583,,,
B 584,,,
B 585,,,
B 586,,,
B 587,,,
B 588,,,
B 589,,,
B 590,DEFECT VARIATOR FOR DISPLAY EXT 1,,
B 591,DEFECT VARIATOR FOR DISPLAY EXT 2,,
B 592,DEFECT VARIATOR FOR DISPLAY SAT 1,,
B 593,DEFECT VARIATOR FOR DISPLAY SAT 2,,
B 594,DEFECT VARIATOR FOR DISPLAY CR,,
B 595,DEFECT VARIATOR FOR DISPLAY MDO 1,,
B 596,DEFECT VARIATOR FOR DISPLAY MDO 2,,
B 597,DEFECT VARIATOR FOR DISPLAY MDO 3,,
B 598,DEFECT VARIATOR FOR DISPLAY TDO,,
B 599,DEFECT VARIATOR FOR DISPLAY PRS 1,,
B 600,DEFECT VARIATOR FOR DISPLAY PRS 2,,
B 601,,,
B 602,,,
B 603,,,
B 604,,,
B 605,,,
B 606,,,
B 607,,,
B 608,,,
B 609,,,
B 610,PRESSURE MODE EXT 1,,
B 611,PRESSURE MODE EXT 2,,
B 612,PRESSURE MODE SAT 1,,
B 613,PRESSURE MODE SAT 2,,
B 614,,,
B 615,PRESSURE MODE PERMITTED EXT 1,,
B 616,PRESSURE MODE PERMITTED EXT 2,,
B 617,PRESSURE MODE PERMITTED SAT 1,,
B 618,PRESSURE MODE PERMITTED SAT 2,,
B 619,DISPLAY ON XBT S -> P EXT 1,,
B 620,DISPLAY ON XBT S -> P EXT 2,,
B 621,DISPLAY ON XBT S -> P SAT 1,,
B 622,DISPLAY ON XBT S -> P SAT 2,,
B 623,,,
B 624,,,
B 625,PURGE MODE EXT 1 / EXT 2,,
B 626,ORDER PRESSURE MODE EXT 1,,
B 627,,,
B 628,ORDER PRESSURE MODE EXT 2,,
B 629,PURGE MODE SAT 1,,
B 630,ORDER PRESSURE MODE SAT 1,,
B 631,PURGE MODE SAT 2,,
B 632,ORDER PRESSURE MODE SAT 2,,
B 633,,,
B 634,GAUGE IN REGULATION,,
B 635,BIT FOR STRETCHING,,
B 636,BIT FOR STRETCHING,,
B 637,BIT FOR STRETCHING,,
B 638,,,
B 639,,,
B 640,AUTOMATIC MODE FOR SPEED EXT,,
B 641,AUTOMATIC MODE FOR SPEED SAT 1,,
B 642,AUTOMATIC MODE FOR SPEED SAT 2,,
B 643,AUTOMATIC MODE PERMITTED EXT,,
B 644,AUTOMATIC MODE PERMITTED SAT 1,,
B 645,AUTOMATIC MODE PERMITTED SAT 2,,
B 646,"""OR"" AUTOMATIC MODE PERMITTED",,
B 647,,,
B 648,MDO DANCING ROLL,,
B 649,TDO DANCING ROLL,,
B 650,ORDER AUTOMATIC MODE EXT,,
B 651,ORDER AUTOMATIC MODE SAT 1,,
B 652,ORDER AUTOMATIC MODE SAT 2,,
B 653,,,
B 654,,,
B 655,,,
B 656,,,
B 657,,,
B 658,,,
B 659,,,
B 660,LOW SPEED SAT 1 if BREAK,,
B 661,LOW SPEED SAT 2 if BREAK,,
B 662,,,
B 663,,,
B 664,,,
B 665,,,
B 666,,,
B 667,,,
B 668,,,
B 669,,,
B 670,,,
B 671,,,
B 672,,,
B 673,,,
B 674,,,
B 675,,,
B 676,,,
B 677,,,
B 678,,,
B 679,,,
B 680,,,
B 681,,,
B 682,,,
B 683,,,
B 684,,,
B 685,,,
B 686,,,
B 687,,,
B 688,,,
B 689,,,
B 690,,,
B 691,,,
B 692,,,
B 693,,,
B 694,,,
B 695,,,
B 696,,,
B 697,,,
B 698,,,
B 699,,,
,,,
,,,
